tanggal,wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius,,
2017-08-18,Kepulauan Seribu,Pagi,Cerah Berawan,55 - 75,24 - 33,,
2017-08-18,Jakarta Pusat,Pagi,Cerah Berawan,55 - 75,24 - 33,,
2017-08-18,Jakarta Utara,Pagi,Cerah Berawan,55 - 75,24 - 33,,
2017-08-18,Jakarta Timur,Siang,Berawan,55 - 75,24 - 33,,
2017-08-18,Jakarta Barat,Siang,Berawan,55 - 75,24 - 33,,
2017-08-18,Jakarta Selatan,Siang,Berawan,55 - 75,24 - 33,,
2017-08-18,Kepulauan Seribu,Siang,Cerah Berawan,55 - 75,24 - 33,,
2017-08-18,Jakarta Pusat,Siang,Berawan,55 - 75,24 - 33,,
2017-08-18,Jakarta Utara,Siang,Berawan,55 - 75,24 - 33,,
2017-08-18,Jakarta Timur,Malam,Berawan,55 - 75,24 - 33,,
2017-08-18,Jakarta Barat,Malam,Cerah Berawan,55 - 75,24 - 33,,
2017-08-18,Jakarta Selatan,Malam,Berawan,55 - 75,24 - 33,,
2017-08-18,Kepulauan Seribu,Malam,Berawan,55 - 75,24 - 33,,
2017-08-18,Jakarta Pusat,Malam,Berawan,55 - 75,24 - 33,,
2017-08-18,Jakarta Utara,Malam,Berawan,55 - 75,24 - 33,,
2017-08-18,Jakarta Timur,Dini Hari,Cerah,55 - 75,24 - 33,,
2017-08-18,Jakarta Barat,Dini Hari,Cerah,55 - 75,24 - 33,,
2017-08-18,Jakarta Selatan,Dini Hari,Cerah,55 - 75,24 - 33,,
2017-08-18,Kepulauan Seribu,Dini Hari,Cerah,55 - 75,24 - 33,,
2017-08-18,Jakarta Pusat,Dini Hari,Cerah,55 - 75,24 - 33,,
2017-08-18,Jakarta Utara,Dini Hari,Cerah,55 - 75,24 - 33,,
2017-08-19,Jakarta Timur,Pagi,Berawan Tebal,60 - 90,25 - 32,,
2017-08-19,Jakarta Barat,Pagi,Berawan Tebal,60 - 90,25 - 32,,
2017-08-19,Jakarta Selatan,Pagi,Berawan Tebal,60 - 90,25 - 32,,
2017-08-19,Kepulauan Seribu,Pagi,Berawan,60 - 90,25 - 32,,
2017-08-19,Jakarta Pusat,Pagi,Berawan Tebal,60 - 90,25 - 32,,
2017-08-19,Jakarta Utara,Pagi,Berawan Tebal,60 - 90,25 - 32,,
2017-08-19,Jakarta Timur,Siang,Hujan Lokal,60 - 90,25 - 32,,
2017-08-19,Jakarta Barat,Siang,Hujan Lokal,60 - 90,25 - 32,,
2017-08-19,Jakarta Selatan,Siang,Hujan Lokal,60 - 90,25 - 32,,
2017-08-19,Kepulauan Seribu,Siang,Hujan Lokal,60 - 90,25 - 32,,
2017-08-19,Jakarta Pusat,Siang,Hujan Lokal,60 - 90,25 - 32,,
2017-08-19,Jakarta Utara,Siang,Hujan Lokal,60 - 90,25 - 32,,
2017-08-19,Jakarta Timur,Malam,Hujan Lokal,60 - 90,25 - 32,,
2017-08-19,Jakarta Barat,Malam,Hujan Lokal,60 - 90,25 - 32,,
2017-08-19,Jakarta Selatan,Malam,Hujan Lokal,60 - 90,25 - 32,,
2017-08-19,Kepulauan Seribu,Malam,Hujan Petir,60 - 90,25 - 32,,
2017-08-19,Jakarta Pusat,Malam,Hujan Lokal,60 - 90,25 - 32,,
2017-08-19,Jakarta Utara,Malam,Hujan Lokal,60 - 90,25 - 32,,
2017-08-19,Jakarta Timur,Dini Hari,Cerah,60 - 90,25 - 32,,
2017-08-19,Jakarta Barat,Dini Hari,Cerah,60 - 90,25 - 32,,
2017-08-19,Jakarta Selatan,Dini Hari,Cerah,60 - 90,25 - 32,,
2017-08-19,Kepulauan Seribu,Dini Hari,Cerah,60 - 90,25 - 32,,
2017-08-19,Jakarta Pusat,Dini Hari,Cerah,60 - 90,25 - 32,,
2017-08-19,Jakarta Utara,Dini Hari,Cerah,60 - 90,25 - 32,,
2017-08-20,Jakarta Timur,Pagi,Cerah Berawan,55 - 85,23 - 33,,
2017-08-20,Jakarta Barat,Pagi,Cerah Berawan,55 - 85,23 - 33,,
2017-08-20,Jakarta Selatan,Pagi,Cerah Berawan,55 - 85,23 - 33,,
2017-08-20,Kepulauan Seribu,Pagi,Cerah Berawan,55 - 85,23 - 33,,
2017-08-20,Jakarta Pusat,Pagi,Cerah Berawan,55 - 85,23 - 33,,
2017-08-20,Jakarta Utara,Pagi,Cerah Berawan,55 - 85,23 - 33,,
2017-08-20,Jakarta Timur,Siang,Hujan Lokal,55 - 85,23 - 33,,
2017-08-20,Jakarta Barat,Siang,Hujan Lokal,55 - 85,23 - 33,,
2017-08-20,Jakarta Selatan,Siang,Hujan Lokal,55 - 85,23 - 33,,
2017-08-20,Kepulauan Seribu,Siang,Cerah Berawan,55 - 85,23 - 33,,
2017-08-20,Jakarta Pusat,Siang,Cerah Berawan,55 - 85,23 - 33,,
2017-08-20,Jakarta Utara,Siang,Cerah Berawan,55 - 85,23 - 33,,
2017-08-20,Jakarta Timur,Malam,Cerah Berawan,55 - 85,23 - 33,,
2017-08-20,Jakarta Barat,Malam,Berawan,55 - 85,23 - 33,,
2017-08-20,Jakarta Selatan,Malam,Cerah Berawan,55 - 85,23 - 33,,
2017-08-20,Kepulauan Seribu,Malam,Cerah Berawan,55 - 85,23 - 33,,
2017-08-20,Jakarta Pusat,Malam,Cerah Berawan,55 - 85,23 - 33,,
2017-08-20,Jakarta Utara,Malam,Cerah Berawan,55 - 85,23 - 33,,
2017-08-20,Jakarta Timur,Dini Hari,Berawan Tebal,55 - 85,23 - 33,,
2017-08-20,Jakarta Barat,Dini Hari,Berawan Tebal,55 - 85,23 - 33,,
2017-08-20,Jakarta Selatan,Dini Hari,Berawan Tebal,55 - 85,23 - 33,,
2017-08-20,Kepulauan Seribu,Dini Hari,Hujan Lokal,55 - 85,23 - 33,,
2017-08-20,Jakarta Pusat,Dini Hari,Berawan Tebal,55 - 85,23 - 33,,
2017-08-20,Jakarta Utara,Dini Hari,Berawan Tebal,55 - 85,23 - 33,,
2017-08-21,Jakarta Timur,Pagi,Cerah Berawan,55 - 90,23 - 33,,
2017-08-21,Jakarta Barat,Pagi,Cerah Berawan,55 - 90,23 - 33,,
2017-08-21,Jakarta Selatan,Pagi,Cerah Berawan,55 - 90,23 - 33,,
2017-08-21,Kepulauan Seribu,Pagi,Cerah Berawan,55 - 90,23 - 33,,
2017-08-21,Jakarta Pusat,Pagi,Cerah Berawan,55 - 90,23 - 33,,
2017-08-21,Jakarta Utara,Pagi,Cerah Berawan,55 - 90,23 - 33,,
2017-08-21,Jakarta Timur,Siang,Berawan,55 - 90,23 - 33,,
2017-08-21,Jakarta Barat,Siang,Berawan,55 - 90,23 - 33,,
2017-08-21,Jakarta Selatan,Siang,Berawan,55 - 90,23 - 33,,
2017-08-21,Kepulauan Seribu,Siang,Cerah,55 - 90,23 - 33,,
2017-08-21,Jakarta Pusat,Siang,Cerah Berawan,55 - 90,23 - 33,,
2017-08-21,Jakarta Utara,Siang,Cerah Berawan,55 - 90,23 - 33,,
2017-08-21,Jakarta Timur,Malam,Cerah Berawan,55 - 90,23 - 33,,
2017-08-21,Jakarta Barat,Malam,Berawan,55 - 90,23 - 33,,
2017-08-21,Jakarta Selatan,Malam,Cerah Berawan,55 - 90,23 - 33,,
2017-08-21,Kepulauan Seribu,Malam,Cerah Berawan,55 - 90,23 - 33,,
2017-08-21,Jakarta Pusat,Malam,Cerah Berawan,55 - 90,23 - 33,,
2017-08-21,Jakarta Utara,Malam,Cerah Berawan,55 - 90,23 - 33,,
2017-08-21,Jakarta Timur,Dini Hari,Cerah Berawan,55 - 90,23 - 33,,
2017-08-21,Jakarta Barat,Dini Hari,Cerah Berawan,55 - 90,23 - 33,,
2017-08-21,Jakarta Selatan,Dini Hari,Cerah Berawan,55 - 90,23 - 33,,
2017-08-21,Kepulauan Seribu,Dini Hari,Cerah Berawan,55 - 90,23 - 33,,
2017-08-21,Jakarta Pusat,Dini Hari,Cerah Berawan,55 - 90,23 - 33,,
2017-08-21,Jakarta Utara,Dini Hari,Cerah Berawan,55 - 90,23 - 33,,
2017-08-22,Jakarta Timur,Pagi,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Jakarta Barat,Pagi,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Jakarta Selatan,Pagi,Berawan,50 - 92,23 - 33,,
2017-08-22,Kepulauan Seribu,Pagi,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Jakarta Pusat,Pagi,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Jakarta Utara,Pagi,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Jakarta Timur,Siang,Hujan Lokal,50 - 92,23 - 33,,
2017-08-22,Jakarta Barat,Siang,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Jakarta Selatan,Siang,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Kepulauan Seribu,Siang,Cerah,50 - 92,23 - 33,,
2017-08-22,Jakarta Pusat,Siang,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Jakarta Utara,Siang,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Jakarta Timur,Malam,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Jakarta Barat,Malam,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Jakarta Selatan,Malam,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Kepulauan Seribu,Malam,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Jakarta Pusat,Malam,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Jakarta Utara,Malam,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Jakarta Timur,Dini Hari,Berawan Tebal,50 - 92,23 - 33,,
2017-08-22,Jakarta Barat,Dini Hari,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Jakarta Selatan,Dini Hari,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Kepulauan Seribu,Dini Hari,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Jakarta Pusat,Dini Hari,Cerah Berawan,50 - 92,23 - 33,,
2017-08-22,Jakarta Utara,Dini Hari,Cerah Berawan,50 - 92,23 - 33,,
2017-08-23,Jakarta Timur,Pagi,Cerah Berawan ,55 – 80,26 - 33,,
2017-08-23,Jakarta Barat,Pagi,Cerah Berawan ,55 – 80,26 - 33,,
2017-08-23,Jakarta Selatan,Pagi,Cerah Berawan ,55 – 80,26 - 33,,
2017-08-23,Kepulauan Seribu,Pagi,Cerah Berawan ,55 – 80,26 - 33,,
2017-08-23,Jakarta Pusat,Pagi,Cerah Berawan ,55 – 80,26 - 33,,
2017-08-23,Jakarta Utara,Pagi,Cerah Berawan ,55 – 80,26 - 33,,
2017-08-23,Jakarta Timur,Siang,Cerah Berawan,55 – 80,26 - 33,,
2017-08-23,Jakarta Barat,Siang,Cerah Berawan,55 – 80,26 - 33,,
2017-08-23,Jakarta Selatan,Siang,Cerah Berawan,55 – 80,26 - 33,,
2017-08-23,Kepulauan Seribu,Siang,Cerah Berawan,55 – 80,26 - 33,,
2017-08-23,Jakarta Pusat,Siang,Cerah Berawan,55 – 80,26 - 33,,
2017-08-23,Jakarta Utara,Siang,Cerah Berawan,55 – 80,26 - 33,,
2017-08-23,Jakarta Timur,Malam,Cerah Berawan,55 – 80,26 - 33,,
2017-08-23,Jakarta Barat,Malam,Cerah Berawan,55 – 80,26 - 33,,
2017-08-23,Jakarta Selatan,Malam,Cerah Berawan,55 – 80,26 - 33,,
2017-08-23,Kepulauan Seribu,Malam,Cerah Berawan,55 – 80,26 - 33,,
2017-08-23,Jakarta Pusat,Malam,Cerah Berawan,55 – 80,26 - 33,,
2017-08-23,Jakarta Utara,Malam,Cerah Berawan,55 – 80,26 - 33,,
2017-08-23,Jakarta Timur,Dini Hari,Cerah Berawan,55 – 80,26 - 33,,
2017-08-23,Jakarta Barat,Dini Hari,Cerah Berawan,55 – 80,26 - 33,,
2017-08-23,Jakarta Selatan,Dini Hari,Cerah Berawan,55 – 80,26 - 33,,
2017-08-23,Kepulauan Seribu,Dini Hari,Cerah Berawan,55 – 80,26 - 33,,
2017-08-23,Jakarta Pusat,Dini Hari,Cerah Berawan,55 – 80,26 - 33,,
2017-08-23,Jakarta Utara,Dini Hari,Cerah Berawan,55 – 80,26 - 33,,
2017-08-24,Jakarta Timur,Pagi,Cerah Berawan ,55 – 80,25 - 33,,
2017-08-24,Jakarta Barat,Pagi,Cerah Berawan ,55 – 80,25 - 33,,
2017-08-24,Jakarta Selatan,Pagi,Cerah Berawan ,55 – 80,25 - 33,,
2017-08-24,Kepulauan Seribu,Pagi,Cerah Berawan ,55 – 80,25 - 33,,
2017-08-24,Jakarta Pusat,Pagi,Cerah,55 – 80,25 - 33,,
2017-08-24,Jakarta Utara,Pagi,Cerah ,55 – 80,25 - 33,,
2017-08-24,Jakarta Timur,Siang,Cerah Berawan,55 – 80,25 - 33,,
2017-08-24,Jakarta Barat,Siang,Cerah Berawan,55 – 80,25 - 33,,
2017-08-24,Jakarta Selatan,Siang,Cerah Berawan,55 – 80,25 - 33,,
2017-08-24,Kepulauan Seribu,Siang,Cerah Berawan,55 – 80,25 - 33,,
2017-08-24,Jakarta Pusat,Siang,Cerah Berawan,55 – 80,25 - 33,,
2017-08-24,Jakarta Utara,Siang,Cerah Berawan,55 – 80,25 - 33,,
2017-08-24,Jakarta Timur,Malam,Cerah Berawan,55 – 80,25 - 33,,
2017-08-24,Jakarta Barat,Malam,Cerah Berawan,55 – 80,25 - 33,,
2017-08-24,Jakarta Selatan,Malam,Hujan,55 – 80,25 - 33,,
2017-08-24,Kepulauan Seribu,Malam,Berawan,55 – 80,25 - 33,,
2017-08-24,Jakarta Pusat,Malam,Cerah Berawan,55 – 80,25 - 33,,
2017-08-24,Jakarta Utara,Malam,Berawan,55 – 80,25 - 33,,
2017-08-24,Jakarta Timur,Dini Hari,Cerah Berawan,55 – 80,25 - 33,,
2017-08-24,Jakarta Barat,Dini Hari,Cerah Berawan,55 – 80,25 - 33,,
2017-08-24,Jakarta Selatan,Dini Hari,Cerah Berawan,55 – 80,25 - 33,,
2017-08-24,Kepulauan Seribu,Dini Hari,Hujan Lokal,55 – 80,25 - 33,,
2017-08-24,Jakarta Pusat,Dini Hari,Cerah Berawan,55 – 80,25 - 33,,
2017-08-24,Jakarta Utara,Dini Hari,Berawan,55 – 80,25 - 33,,
2017-08-25,Jakarta Timur,Pagi,Cerah Berawan ,55 – 80,25 - 33,,
2017-08-25,Jakarta Barat,Pagi,Cerah Berawan ,55 – 80,25 - 33,,
2017-08-25,Jakarta Selatan,Pagi,Cerah Berawan ,55 – 80,25 - 33,,
2017-08-25,Kepulauan Seribu,Pagi,Hujan Ringan ,55 – 80,25 - 33,,
2017-08-25,Jakarta Pusat,Pagi,Cerah,55 – 80,25 - 33,,
2017-08-25,Jakarta Utara,Pagi,Cerah ,55 – 80,25 - 33,,
2017-08-25,Jakarta Timur,Siang,Cerah Berawan,55 – 80,25 - 33,,
2017-08-25,Jakarta Barat,Siang,Cerah Berawan,55 – 80,25 - 33,,
2017-08-25,Jakarta Selatan,Siang,Cerah Berawan,55 – 80,25 - 33,,
2017-08-25,Kepulauan Seribu,Siang,Cerah Berawan,55 – 80,25 - 33,,
2017-08-25,Jakarta Pusat,Siang,Cerah Berawan,55 – 80,25 - 33,,
2017-08-25,Jakarta Utara,Siang,Cerah Berawan,55 – 80,25 - 33,,
2017-08-25,Jakarta Timur,Malam,Cerah Berawan,55 – 80,25 - 33,,
2017-08-25,Jakarta Barat,Malam,Cerah Berawan,55 – 80,25 - 33,,
2017-08-25,Jakarta Selatan,Malam,Cerah Berawan,55 – 80,25 - 33,,
2017-08-25,Kepulauan Seribu,Malam,Cerah Berawan,55 – 80,25 - 33,,
2017-08-25,Jakarta Pusat,Malam,Cerah Berawan,55 – 80,25 - 33,,
2017-08-25,Jakarta Utara,Malam,Cerah Berawan,55 – 80,25 - 33,,
2017-08-25,Jakarta Timur,Dini Hari,Cerah Berawan,55 – 80,25 - 33,,
2017-08-25,Jakarta Barat,Dini Hari,Cerah Berawan,55 – 80,25 - 33,,
2017-08-25,Jakarta Selatan,Dini Hari,Cerah Berawan,55 – 80,25 - 33,,
2017-08-25,Kepulauan Seribu,Dini Hari,Berawan,55 – 80,25 - 33,,
2017-08-25,Jakarta Pusat,Dini Hari,Cerah Berawan,55 – 80,25 - 33,,
2017-08-25,Jakarta Utara,Dini Hari,Cerah Berawan,55 – 80,25 - 33,,
2017-08-28,Jakarta Timur,Pagi,Cerah Berawan ,50 – 80,24 - 33,,
2017-08-28,Jakarta Barat,Pagi,Cerah Berawan ,50 – 80,24 - 33,,
2017-08-28,Jakarta Selatan,Pagi,Cerah Berawan ,50 – 80,24 - 33,,
2017-08-28,Kepulauan Seribu,Pagi,Cerah Berawan ,50 – 80,24 - 33,,
2017-08-28,Jakarta Pusat,Pagi,Cerah Berawan,50 – 80,24 - 33,,
2017-08-28,Jakarta Utara,Pagi,Cerah Berawan,50 – 80,24 - 33,,
2017-08-28,Jakarta Timur,Siang,Cerah Berawan,50 – 80,24 - 33,,
2017-08-28,Jakarta Barat,Siang,Cerah Berawan,50 – 80,24 - 33,,
2017-08-28,Jakarta Selatan,Siang,Cerah Berawan,50 – 80,24 - 33,,
2017-08-28,Kepulauan Seribu,Siang,Cerah Berawan,50 – 80,24 - 33,,
2017-08-28,Jakarta Pusat,Siang,Cerah Berawan,50 – 80,24 - 33,,
2017-08-28,Jakarta Utara,Siang,Cerah Berawan,50 – 80,24 - 33,,
2017-08-28,Jakarta Timur,Malam,Berawan,50 – 80,24 - 33,,
2017-08-28,Jakarta Barat,Malam,Berawan,50 – 80,24 - 33,,
2017-08-28,Jakarta Selatan,Malam,Berawan,50 – 80,24 - 33,,
2017-08-28,Kepulauan Seribu,Malam,Berawan,50 – 80,24 - 33,,
2017-08-28,Jakarta Pusat,Malam,Berawan,50 – 80,24 - 33,,
2017-08-28,Jakarta Utara,Malam,Berawan,50 – 80,24 - 33,,
2017-08-28,Jakarta Timur,Dini Hari,Berawan,50 – 80,24 - 33,,
2017-08-28,Jakarta Barat,Dini Hari,Berawan,50 – 80,24 - 33,,
2017-08-28,Jakarta Selatan,Dini Hari,Berawan,50 – 80,24 - 33,,
2017-08-28,Kepulauan Seribu,Dini Hari,Hujan Ringan,50 – 80,24 - 33,,
2017-08-28,Jakarta Pusat,Dini Hari,Berawan,50 – 80,24 - 33,,
2017-08-28,Jakarta Utara,Dini Hari,Berawan,50 – 80,24 - 33,,
2017-08-29,Jakarta Timur,Pagi,Cerah Berawan ,60 – 90,25 - 32,,
2017-08-29,Jakarta Barat,Pagi,Cerah Berawan ,60 – 90,25 - 32,,
2017-08-29,Jakarta Selatan,Pagi,Cerah Berawan ,60 – 90,25 - 32,,
2017-08-29,Kepulauan Seribu,Pagi,Cerah Berawan ,60 – 90,25 - 32,,
2017-08-29,Jakarta Pusat,Pagi,Cerah Berawan,60 – 90,25 - 32,,
2017-08-29,Jakarta Utara,Pagi,Cerah Berawan,60 – 90,25 - 32,,
2017-08-29,Jakarta Timur,Siang,Hujan Lokal,60 – 90,25 - 32,,
2017-08-29,Jakarta Barat,Siang,Cerah Berawan,60 – 90,25 - 32,,
2017-08-29,Jakarta Selatan,Siang,Hujan Lokal,60 – 90,25 - 32,,
2017-08-29,Kepulauan Seribu,Siang,Berawan,60 – 90,25 - 32,,
2017-08-29,Jakarta Pusat,Siang,Cerah Berawan,60 – 90,25 - 32,,
2017-08-29,Jakarta Utara,Siang,Cerah Berawan,60 – 90,25 - 32,,
2017-08-29,Jakarta Timur,Malam,Hujan Lokal,60 – 90,25 - 32,,
2017-08-29,Jakarta Barat,Malam,Berawan,60 – 90,25 - 32,,
2017-08-29,Jakarta Selatan,Malam,Hujan Lokal,60 – 90,25 - 32,,
2017-08-29,Kepulauan Seribu,Malam,Berawan,60 – 90,25 - 32,,
2017-08-29,Jakarta Pusat,Malam,Berawan,60 – 90,25 - 32,,
2017-08-29,Jakarta Utara,Malam,Berawan,60 – 90,25 - 32,,
2017-08-29,Jakarta Timur,Dini Hari,Cerah Berawan,60 – 90,25 - 32,,
2017-08-29,Jakarta Barat,Dini Hari,Cerah Berawan,60 – 90,25 - 32,,
2017-08-29,Jakarta Selatan,Dini Hari,Cerah Berawan,60 – 90,25 - 32,,
2017-08-29,Kepulauan Seribu,Dini Hari,Hujan Lokal,60 – 90,25 - 32,,
2017-08-29,Jakarta Pusat,Dini Hari,Cerah Berawan,60 – 90,25 - 32,,
2017-08-29,Jakarta Utara,Dini Hari,Cerah Berawan,60 – 90,25 - 32,,
2017-08-30,Jakarta Timur,Pagi,Cerah Berawan ,55 – 90,24 - 33,,
2017-08-30,Jakarta Barat,Pagi,Cerah Berawan ,55 – 90,24 - 33,,
2017-08-30,Jakarta Selatan,Pagi,Cerah Berawan ,55 – 90,24 - 33,,
2017-08-30,Kepulauan Seribu,Pagi,Hujan Ringan ,55 – 90,24 - 33,,
2017-08-30,Jakarta Pusat,Pagi,Cerah Berawan ,55 – 90,24 - 33,,
2017-08-30,Jakarta Utara,Pagi,Cerah Berawan ,55 – 90,24 - 33,,
2017-08-30,Jakarta Timur,Siang,Berawan,55 – 90,24 - 33,,
2017-08-30,Jakarta Barat,Siang,Berawan,55 – 90,24 - 33,,
2017-08-30,Jakarta Selatan,Siang,Berawan,55 – 90,24 - 33,,
2017-08-30,Kepulauan Seribu,Siang,Berawan,55 – 90,24 - 33,,
2017-08-30,Jakarta Pusat,Siang,Berawan,55 – 90,24 - 33,,
2017-08-30,Jakarta Utara,Siang,Berawan,55 – 90,24 - 33,,
2017-08-30,Jakarta Timur,Malam,Berawan,55 – 90,24 - 33,,
2017-08-30,Jakarta Barat,Malam,Berawan,55 – 90,24 - 33,,
2017-08-30,Jakarta Selatan,Malam,Berawan,55 – 90,24 - 33,,
2017-08-30,Kepulauan Seribu,Malam,Berawan,55 – 90,24 - 33,,
2017-08-30,Jakarta Pusat,Malam,Berawan,55 – 90,24 - 33,,
2017-08-30,Jakarta Utara,Malam,Berawan,55 – 90,24 - 33,,
2017-08-30,Jakarta Timur,Dini Hari,Cerah Berawan,55 – 90,24 - 33,,
2017-08-30,Jakarta Barat,Dini Hari,Cerah Berawan,55 – 90,24 - 33,,
2017-08-30,Jakarta Selatan,Dini Hari,Cerah Berawan,55 – 90,24 - 33,,
2017-08-30,Kepulauan Seribu,Dini Hari,Cerah Berawan,55 – 90,24 - 33,,
2017-08-30,Jakarta Pusat,Dini Hari,Cerah Berawan,55 – 90,24 - 33,,
2017-08-30,Jakarta Utara,Dini Hari,Cerah Berawan,55 – 90,24 - 33,,
2017-08-31,Jakarta Timur,Pagi,Cerah Berawan ,55 – 90,23 - 33,,
2017-08-31,Jakarta Barat,Pagi,Cerah Berawan ,55 – 90,23 - 33,,
2017-08-31,Jakarta Selatan,Pagi,Cerah Berawan ,55 – 90,23 - 33,,
2017-08-31,Kepulauan Seribu,Pagi,Berawan Tebal ,55 – 90,23 - 33,,
2017-08-31,Jakarta Pusat,Pagi,Berawan ,55 – 90,23 - 33,,
2017-08-31,Jakarta Utara,Pagi,Berawan ,55 – 90,23 - 33,,
2017-08-31,Jakarta Timur,Siang,Cerah Berawan,55 – 90,23 - 33,,
2017-08-31,Jakarta Barat,Siang,Cerah Berawan,55 – 90,23 - 33,,
2017-08-31,Jakarta Selatan,Siang,Cerah Berawan,55 – 90,23 - 33,,
2017-08-31,Kepulauan Seribu,Siang,Cerah Berawan,55 – 90,23 - 33,,
2017-08-31,Jakarta Pusat,Siang,Cerah Berawan,55 – 90,23 - 33,,
2017-08-31,Jakarta Utara,Siang,Cerah Berawan,55 – 90,23 - 33,,
2017-08-31,Jakarta Timur,Malam,Cerah Berawan,55 – 90,23 - 33,,
2017-08-31,Jakarta Barat,Malam,Cerah Berawan,55 – 90,23 - 33,,
2017-08-31,Jakarta Selatan,Malam,Berawan,55 – 90,23 - 33,,
2017-08-31,Kepulauan Seribu,Malam,Berawan,55 – 90,23 - 33,,
2017-08-31,Jakarta Pusat,Malam,Cerah Berawan,55 – 90,23 - 33,,
2017-08-31,Jakarta Utara,Malam,Berawan,55 – 90,23 - 33,,
2017-08-31,Jakarta Timur,Dini Hari,Cerah Berawan,55 – 90,23 - 33,,
2017-08-31,Jakarta Barat,Dini Hari,Berawan,55 – 90,23 - 33,,
2017-08-31,Jakarta Selatan,Dini Hari,Cerah Berawan,55 – 90,23 - 33,,
2017-08-31,Kepulauan Seribu,Dini Hari,Hujan Ringan,55 – 90,23 - 33,,
2017-08-31,Jakarta Pusat,Dini Hari,Cerah Berawan,55 – 90,23 - 33,,
2017-08-31,Jakarta Utara,Dini Hari,Hujan Ringan,55 – 90,23 - 33,,
